'Anunciação','Alceu Valença','Na bruma leve das paixões Que vêm de dentro Tu vens chegando Pra brincar no meu quintal No teu cavalo Peito nu, cabelo ao vento E o sol quarando Nossas roupas no varal Na bruma leve das paixões Que vêm de dentro Tu vens chegando Pra brincar no meu quintal No teu cavalo Peito nu, cabelo ao vento E o sol quarando Nossas roupas no varal Tu vens, tu vens Eu já escuto os teus sinais Tu vens, tu vens Eu já escuto os teus sinais A voz do anjo Sussurrou no meu ouvido Eu não duvido Já escuto os teus sinais Que tu virias Numa manhã de domingo Eu te anuncio Nos sinos das catedrais Tu vens, tu vens Eu já escuto os teus sinais Tu vens, tu vens Eu já escuto os teus sinais Ah! ah! ah! ah! ah! ah! Ah! ah! ah! ah! ah! ah! Ah! ah! ah! ah! ah! ah! Ah! ah! ah! ah! ah! ah! Na bruma leve das paixões Que vêm de dentro Tu vens chegando Pra brincar no meu quintal No teu cavalo Peito nu, cabelo ao vento E o sol quarando Nossas roupas no varal Tu vens, tu vens Eu já escuto os teus sinais Tu vens, tu vens Eu já escuto os teus sinais A voz do anjo Sussurrou no meu ouvido Eu não duvido Já escuto os teus sinais Que tu virias Numa manhã de domingo Eu te anuncio Nos sinos das catedrais Tu vens, tu vens Eu já escuto os teus sinais Tu vens, tu vens Eu já escuto os teus sinais Ah! ah! ah! ah! ah! ah! Ah! ah! ah! ah! ah! ah! Ah! ah! ah! ah! ah! ah! Ah! ah! ah! ah! ah! ah!'
'A Noite','Tiê','Palavras não bastam, não dá pra entender E esse medo que cresce e não para É uma história que se complicou E eu sei bem o por quê Qual é o peso da culpa que eu carrego nos braços? Me entorta as costas e dá um cansaço A maldade do tempo fez eu me afastar de você E quando chega a noite e eu não consigo dormir Meu coração acelera e eu sozinha aqui Eu mudo o lado da cama, eu ligo a televisão Olhos nos olhos no espelho e o telefone na mão Pro tanto que eu te queria, o perto nunca bastava E essa proximidade não dava Me perdi no que era real e no que eu inventei Reescrevi as memórias, deixei o cabelo crescer E te dedico uma linda história confessa Nem a maldade do tempo consegue me afastar de você Te contei tantos segredos que já não eram só meus Rimas de um velho diário que nunca me pertenceu Entre palavras não ditas, tantas palavras de amor Essa paixão é antiga e o tempo nunca passou E quando chega a noite, e eu não consigo dormir Meu coração acelera e eu sozinha aqui Eu mudo o lado da cama, eu ligo a televisão Olhos nos olhos no espelho e o telefone na minha mão'
'João de Barro','Maria Gadú','O meu desafio é andar sozinho Esperar no tempo os nossos destinos Não olhar pra trás, esperar a paz O que me traz A ausência do seu olhar Traz nas asas um novo dia Me ensina a caminhar Mesmo eu sendo menino, aprendi Oh, meu Deus, me traz de volta essa menina Porque tudo que eu tenho é o seu amor João de Barro, eu te entendo agora Por favor, me ensine como guardar meu amor O meu desafio é andar sozinho Esperar no tempo os nossos destinos Não olhar pra trás, esperar a paz O que me traz A ausência do seu olhar Traz nas asas um novo dia Me ensina a caminhar Mesmo eu sendo menino, aprendi Oh, meu Deus, me traz de volta essa menina Porque tudo que eu tenho é o seu amor João de Barro, eu te entendo agora Por favor, me ensine como guardar meu amor Oh, meu Deus, me traz de volta essa menina Porque tudo que eu tenho é o seu amor João de Barro, eu te entendo agora Por favor, me ensine como guardar meu amor Oh, meu Deus, me traz de volta essa menina Porque tudo que eu tenho é o seu amor João de Barro, eu te entendo agora Por favor, me ensine como guardar meu amor Meu amor'
'Pra Você Dar o Nome','5 à Seco','Deixa pra lá Que de nada adianta esse papo de agora não dá Que eu te quero é agora E não posso e nem vou te esperar Que esse lance de um tempo nunca funcionou pra nós dois Sempre que der Mande um sinal de vida de onde estiver dessa vez Qualquer coisa que faça eu pensar que você está bem Ou deitada nos braços de um outro qualquer Que é melhor Do que sofrer De saudade de mim como eu tô de você, pode crer Que essa dor eu não quero pra ninguém no mundo Imagina só pra você Quero é te ver Dando volta no mundo indo atrás de você, sabe o quê E rezando pra um dia você se encontrar e perceber Que o que falta em você sou eu Deixa pra lá Que de nada adianta esse papo de agora não dá Que eu te quero é agora e não posso e nem vou te esperar Que esse lance de um tempo nunca funcionou pra nós dois Sempre que der Mande um sinal de vida de onde estiver dessa vez Qualquer coisa que faça eu pensar que você está bem Ou deitada nos braços de um outro qualquer Que é melhor Do que sofrer De saudade de mim como eu to de você, pode crer Que essa dor eu não quero pra ninguém no mundo Imagina só pra você Quero é te ver Dando volta no mundo indo atrás de você, sabe o quê E rezando pra um dia você se encontrar e perceber Que o que falta em você sou eu'
'Ainda Bem','Marisa Monte','Ainda bem Que agora encontrei você Eu realmente não sei O que eu fiz pra merecer Você Porque ninguém Dava nada por mim Quem dava, eu não tava a fim Até desacreditei De mim O meu coração Já estava acostumado Com a solidão Quem diria que a meu lado Você iria ficar Você veio pra ficar Você que me faz feliz Você que me faz cantar Assim O meu coração Já estava aposentado Sem nenhuma ilusão Tinha sido maltratado Tudo se transformou Agora você chegou Você que me faz feliz Você que me faz cantar Assim O meu coração Já estava acostumado Com a solidão Quem diria que a meu lado Você iria ficar Você veio pra ficar Você que me faz feliz Você que me faz cantar Assim O meu coração Já estava aposentado Sem nenhuma ilusão Tinha sido maltratado Tudo se transformou Agora você chegou Você que me faz feliz Você que me faz cantar Assim Ainda bem'
'Velha Infância','Tribalistas','Você é assim Um sonho pra mim E quando eu não te vejo Eu penso em você Desde o amanhecer Até quando eu me deito Eu gosto de você E gosto de ficar com você Meu riso é tão feliz contigo O meu melhor amigo É o meu amor E a gente canta E a gente dança E a gente não se cansa De ser criança A gente brinca Na nossa velha infância Seus olhos, meu clarão Me guiam dentro da escuridão Seus pés me abrem o caminho Eu sigo e nunca me sinto só Você é assim Um sonho pra mim Quero te encher de beijos Eu penso em você Desde o amanhecer Até quando eu me deito Eu gosto de você E gosto de ficar com você Meu riso é tão feliz contigo O meu melhor amigo É o meu amor E a gente canta A gente dança A gente não se cansa De ser criança A gente brinca Na nossa velha infância Seus olhos, meu clarão Me guiam dentro da escuridão Seus pés me abrem o caminho Eu sigo e nunca me sinto só Você é assim Um sonho pra mim Você é assim Você é assim Um sonho pra mim Você é assim "Você é assim Um sonho pra mim E quando eu não te vejo Penso em você Desde o amanhecer Até quando eu me deito Eu gosto de você E gosto de ficar com você Meu riso é tão feliz contigo O meu melhor amigo É o meu amor"'
'Eu Te Devoro','Djavan','Teus sinais me confundem da cabeça aos pés Mas por dentro eu te devoro Teu olhar não me diz exato quem tu és Mesmo assim eu te devoro Te devoraria a qualquer preço Porque te ignoro ou te conheço Quando chove ou quando faz frio Noutro plano, te devoraria tal Caetano A Leonardo DiCaprio É um milagre Tudo que Deus criou pensando em você Fez a Via-Láctea, fez os dinossauros Sem pensar em nada, fez a minha vida E te deu Sem contar os dias que me faz morrer Sem saber de ti, jogado à solidão Mas se quer saber se eu quero outra vida Não, não! Teus sinais me confundem da cabeça aos pés Mas por dentro eu te devoro Teu olhar não me diz exato quem tu és Mesmo assim eu te devoro Te devoraria a qualquer preço Porque te ignoro ou te conheço Quando chove ou quando faz frio Noutro plano, te devoraria tal Caetano A Leonardo DiCaprio É um milagre Tudo que Deus criou pensando em você Fez a Via-Láctea, fez os dinossauros Sem pensar em nada, fez a minha vida E te deu Sem contar os dias que me faz morrer Sem saber de ti, jogado à solidão Mas se quer saber se eu quero outra vida Não, não! Eu quero mesmo é viver Pra esperar, esperar Devorar você Eu quero mesmo é viver Pra esperar, esperar Devorar você Viver, viver Pra esperar você Quero viver Pra esperar você Quero esperar você'
'Pra Sonhar','Marcelo Jeneci','Quando te vi passar fiquei paralisado Tremi até o chão como um terremoto no Japão Um vento, um tufão Uma batedeira sem botão Foi assim, viu Me vi na sua mão Perdi a hora de voltar para o trabalho Voltei pra casa e disse adeus pra tudo que eu conquistei Mil coisas eu deixei Só pra te falar Largo tudo Se a gente se casar domingo Na praia, no sol, no mar Ou num navio a navegar Num avião a decolar Indo sem data pra voltar Toda de branco no altar Quem vai sorrir? Quem vai chorar? Ave Maria, sei que há Uma história pra sonhar Pra sonhar O que era sonho se tornou realidade De pouco em pouco a gente foi erguendo o nosso próprio trem Nossa Jerusalém Nosso mundo, nosso carrossel Vai e vem vai E não para nunca mais De tanto não parar a gente chegou lá Do outro lado da montanha onde tudo começou Quando sua voz falou Pra onde você quiser eu vou Largo tudo Se a gente se casar domingo Na praia, no sol, no mar Ou num navio a navegar Num avião a decolar Indo sem data pra voltar Toda de branco no altar Quem vai sorrir? Quem vai chorar? Ave Maria, sei que há Uma história pra contar Domingo Na praia, no sol, no mar Ou num navio a navegar Num avião a decolar Indo sem data pra voltar Toda de branco no altar Quem vai sorrir? Quem vai chorar? Ave Maria, sei que há Uma história pra contar Pra contar'
'Xote Ecológico','Luiz Gonzaga','Não posso respirar, não posso mais nadar A terra está morrendo, não dá mais pra plantar E se plantar não nasce, se nascer não dá Até pinga da boa é difícil de encontrar Não posso respirar, não posso mais nadar A terra está morrendo, não dá mais pra plantar E se plantar não nasce, se nascer não dá Até pinga da boa é difícil de encontrar Cadê a flor que estava aqui? Poluição comeu E o peixe que é do mar? Poluição comeu E o verde onde é que está? Poluição comeu Nem o Chico Mendes sobreviveu'
'Se','Djavan','Você disse que não sabe se não Mas também não tem certeza que sim Quer saber? Quando é assim, deixa vir do coração Você sabe que eu só penso em você Você diz que vive pensando em mim Pode ser, se é assim Você tem que largar a mão do não Soltar essa louca, arder de paixão Não há como doer pra decidir Só dizer sim ou não Mas você adora um se Eu levo a sério, mas você disfarça Você me diz à beça e eu nessa de horror E me remete ao frio que vem lá do sul Insiste em zero a zero e eu quero um a um Sei lá o que te dá, não quer meu calor São Jorge, por favor, me empresta o dragão Mais fácil aprender japonês em braile Do que você decidir se dá ou não'
'Como Nossos Pais','Elis Regina','Não quero lhe falar Meu grande amor Das coisas que aprendi Nos discos Quero lhe contar como eu vivi E tudo o que aconteceu comigo Viver é melhor que sonhar Eu sei que o amor É uma coisa boa Mas também sei Que qualquer canto É menor do que a vida De qualquer pessoa Por isso cuidado, meu bem Há perigo na esquina Eles venceram e o sinal Está fechado pra nós Que somos jovens Para abraçar seu irmão E beijar sua menina na rua É que se fez o seu braço O seu lábio e a sua voz Você me pergunta Pela minha paixão Digo que estou encantada Como uma nova invenção Eu vou ficar nesta cidade Não vou voltar pro sertão Pois vejo vir vindo no vento Cheiro de nova estação Eu sinto tudo na ferida viva Do meu coração Já faz tempo Eu vi você na rua Cabelo ao vento Gente jovem reunida Na parede da memória Essa lembrança É o quadro que dói mais Minha dor é perceber Que apesar de termos Feito tudo o que fizemos Ainda somos os mesmos E vivemos Ainda somos os mesmos E vivemos Como os nossos pais Nossos ídolos Ainda são os mesmos E as aparências Não enganam não Você diz que depois deles Não apareceu mais ninguém Você pode até dizer Que eu tô por fora Ou então Que eu tô inventando Mas é você Que ama o passado E que não vê É você Que ama o passado E que não vê Que o novo sempre vem Hoje eu sei Que quem me deu a idéia De uma nova consciência E juventude Tá em casa Guardado por Deus Contando o vil metal Minha dor é perceber Que apesar de termos Feito tudo, tudo Tudo o que fizemos Nós ainda somos Os mesmos e vivemos Ainda somos Os mesmos e vivemos Ainda somos Os mesmos e vivemos Como os nossos pais'
'São João Na Roça','Luiz Gonzaga','A fogueira ta queimando Em homenagem a São João O forró já começou Vamos gente, rapa-pé nesse salão Dança Joaquim com Zabé Luiz com Yaiá Dança Janjão com Raque E eu com Sinhá Traz a cachaça Mane! Que eu quero ver Quero ver paia avuar'
'O Leãozinho','Caetano Veloso','Gosto muito de te ver, leãozinho Caminhando sob o sol Gosto muito de você, leãozinho Para desentristecer, leãozinho O meu coração tão só Basta eu encontrar você no caminho Um filhote de leão, raio da manhã Arrastando o meu olhar como um ímã O meu coração é o sol, pai de toda cor Quando ele lhe doura a pele ao léu Gosto de te ver ao sol, leãozinho De te ver entrar no mar Tua pele, tua luz, tua juba Gosto de ficar ao sol, leãozinho De molhar minha juba De estar perto de você e entrar no mar'
'Nem Um Dia','Djavan','Um dia frio Um bom lugar pra ler um livro E o pensamento lá em você Eu sem você não vivo Um dia triste Toda fragilidade incide E o pensamento lá em você E tudo me divide Um dia frio Um bom lugar pra ler um livro E o pensamento lá em você Eu sem você não vivo Um dia triste Toda fragilidade incide E o pensamento lá em você E tudo me divide Longe da felicidade e todas as suas luzes Te desejo como ao ar Mais que tudo És manhã na natureza das flores Mesmo por toda riqueza dos sheiks árabes Não te esquecerei um dia Nem um dia Espero com a força do pensamento Recriar a luz que me trará você E tudo nascerá mais belo O verde faz do azul com o amarelo O elo com todas as cores Pra enfeitar amores gris E tudo nascerá mais belo O verde faz do azul com o amarelo O elo com todas as cores Pra enfeitar amores gris Um dia frio Um bom lugar pra ler um livro E o pensamento lá em você Eu sem você não vivo Um dia triste Toda fragilidade incide E o pensamento lá em você E tudo me divide Mesmo por toda riqueza dos sheiks árabes Não te esquecerei um dia Nem um dia Espero com a força do pensamento Recriar a luz que me trará você E tudo nascerá mais belo O verde faz do azul com o amarelo O elo com todas as cores Pra enfeitar amores gris E tudo nascerá mais belo O verde faz do azul com o amarelo O elo com todas as cores Pra enfeitar amores gris'
'Gostava Tanto de Você','Tim Maia','Não sei por que você se foi Quantas saudades eu senti E de tristezas vou viver E aquele adeus não pude dar Você marcou na minha vida Viveu, morreu na minha história Chego a ter medo do futuro E da solidão que em minha porta bate E eu Gostava tanto de você Gostava tanto de você Eu corro, fujo desta sombra Em sonho, vejo este passado E na parede do meu quarto Ainda está o seu retrato Não quero ver pra não lembrar Pensei até em me mudar Lugar qualquer que não exista O pensamento em você E eu Gostava tanto de você Gostava tanto de você Não sei por que você se foi Quantas saudades eu senti E de tristezas vou viver E aquele adeus não pude dar Você marcou em minha vida Viveu, morreu na minha história Chego a ter medo do futuro E da solidão que em minha porta bate E eu Gostava tanto de você Gostava tanto de você Eu corro, fujo desta sombra Em sonho, vejo este passado E na parede do meu quarto Ainda está o seu retrato Não quero ver pra não lembrar Pensei até em me mudar Lugar qualquer que não exista O pensamento em você E eu Gostava tanto de você Gostava tanto de você Eu gostava tanto de você Eu gostava tanto de você Eu gostava tanto de você'
'Pagode Russo','Luiz Gonzaga','Ontem eu sonhei que estava em Moscou Dançando pagode russo na boate Cossacou Ontem eu sonhei que estava em Moscou Dançando pagode russo na boate Cossacou Parecia até um frevo naquele cai e não cai Parecia até um frevo naquele vai e não vai Parecia até um frevo naquele cai e não cai Parecia até um frevo naquele vai e não vai Vem cá cossaco, cossaco dança agora Na dança do cossaco, não fica cossaco fora Vem cá cossaco, cossaco dança agora Na dança do cossaco, não fica cossaco fora'
'Um Amor Puro','Djavan','O que há dentro do meu coração Eu tenho guardado pra te dar E todas as horas que o tempo Tem pra me conceder São tuas até morrer E a tua história, eu não sei Mas me diga só o que for bom Um amor tão puro que ainda nem sabe A força que tem É teu e de mais ninguém Te adoro em tudo, tudo, tudo Quero mais que tudo, tudo, tudo Te amar sem limites Viver uma grande história Aqui ou noutro lugar Que pode ser feio ou bonito Se nós estivermos juntos Haverá um céu azul Um amor puro Não sabe a força que tem Meu amor, eu juro Ser teu e de mais ninguém Um amor puro'
'Telegrama','Zeca Baleiro','Eu tava triste, tristinho Mais sem graça que a top-model magrela Na passarela Eu tava só, sozinho! Mais solitário que um paulistano Que um canastrão na hora que cai o pano Tava mais bobo que banda de rock Que um palhaço do circo Vostok Mas ontem eu recebi um telegrama Era você de Aracaju ou do Alabama Dizendo: Nêgo, sinta-se feliz Porque no mundo tem alguém que diz Que muito te ama! Que tanto te ama! Que muito, muito te ama Que tanto te ama! Por isso hoje eu acordei Com uma vontade danada De mandar flores ao delegado De bater na porta do vizinho E desejar bom dia De beijar o português Da padaria Hoje eu acordei Com uma vontade danada De mandar flores ao delegado De bater na porta do vizinho E desejar bom dia De beijar o português Da padaria Mama! Oh Mama! Oh Mama! Quero ser seu Quero ser seu Quero ser seu Quero ser seu papa! Mama! Oh Mama! Oh Mama! Quero ser seu Quero ser seu Quero ser seu Quero ser seu papa! Eu tava triste, tristinho! Mais sem graça que a top-model magrela Na passarela Eu tava só, sozinho! Mais solitário que um paulistano Que um vilão de filme mexicano Tava mais bobo que banda de rock Que um palhaço do circo Vostok Mas ontem eu recebi um telegrama Era você de Aracaju ou do Alabama Dizendo: Nego sinta-se feliz Porque no mundo tem alguém que diz Que muito te ama! Que tanto te ama! Que muito te ama! Que tanto, tanto te ama! Por isso hoje eu acordei Com uma vontade danada De mandar flores ao delegado De bater na porta do vizinho E desejar bom dia De beijar o português Da padaria Hoje eu acordei Com uma vontade danada De mandar flores ao delegado De bater na porta do vizinho E desejar bom dia De beijar o português Da padaria Me dê a mão, vamos sair Pra ver o sol! Mama! Oh Mama! Oh Mama! Quero ser seu Quero ser seu Quero ser seu Quero ser seu papa! Hoje eu acordei Com uma vontade danada De mandar flores ao delegado De bater na porta do vizinho E desejar bom dia De beijar o português Da padaria Hoje eu acordei Com uma vontade danada De mandar flores ao delegado De bater na porta do vizinho E desejar bom dia De beijar o português Da padaria Mama! Oh Mama! Oh Mama! Quero ser seu Quero ser seu Quero ser seu Quero ser seu papa! Mama! Oh Mama! Oh Mama! Quero ser seu Quero ser seu Quero ser seu Quero ser seu papa! Mama! Oh Mama! Oh Mama! Quero ser seu Quero ser seu Quero ser seu Quero ser seu papa! Mama! Oh Mama! Oh Mama! Quero ser seu Quero ser seu Quero ser seu Quero ser seu papa! Me dê a mão, vamos sair Pra ver o sol'
'Gostoso Demais','Maria Bethânia','Tô com saudade de tu, meu desejo Tô com saudade do beijo e do mel Do teu olhar carinhoso Do teu abraço gostoso De passear no teu céu É tão difícil ficar sem você O teu amor é gostoso demais Teu cheiro me dá prazer Quando estou com você Estou nos braços da paz Pensamento viaja E vai buscar meu bem-querer Não posso ser feliz, assim Tem dó de mim O que é que eu posso fazer'
